Model,Model_Key,Fit_Stage,Year,Forecast_Temperature_Change_From_1951_1980_C,Reference_Year,Reference_Temperature_Change_From_1951_1980_C,Forecast_Additional_Change_From_Last_Observed_Year_C
Quadratic time trend,quadratic_time,full_data,2022,1.0062053571428573,2021,0.84,0.16620535714285734
Quadratic time trend,quadratic_time,full_data,2023,1.0341714743589745,2021,0.84,0.19417147435897453
Quadratic time trend,quadratic_time,full_data,2024,1.0624862012987015,2021,0.84,0.22248620129870156
Quadratic time trend,quadratic_time,full_data,2025,1.091149537962038,2021,0.84,0.251149537962038
Quadratic time trend,quadratic_time,full_data,2026,1.1201614843489847,2021,0.84,0.2801614843489847
Quadratic time trend,quadratic_time,full_data,2027,1.1495220404595405,2021,0.84,0.30952204045954057
Quadratic time trend,quadratic_time,full_data,2028,1.1792312062937063,2021,0.84,0.3392312062937063
Quadratic time trend,quadratic_time,full_data,2029,1.209288981851482,2021,0.84,0.36928898185148207
Quadratic time trend,quadratic_time,full_data,2030,1.2396953671328672,2021,0.84,0.39969536713286724
Quadratic time trend,quadratic_time,full_data,2031,1.2704503621378622,2021,0.84,0.43045036213786225
Quadratic time trend,quadratic_time,full_data,2032,1.3015539668664668,2021,0.84,0.4615539668664669
Quadratic time trend,quadratic_time,full_data,2033,1.3330061813186815,2021,0.84,0.49300618131868157
Quadratic time trend,quadratic_time,full_data,2034,1.3648070054945056,2021,0.84,0.5248070054945057
Quadratic time trend,quadratic_time,full_data,2035,1.3969564393939398,2021,0.84,0.5569564393939398
Quadratic time trend,quadratic_time,full_data,2036,1.429454483016983,2021,0.84,0.5894544830169831
Quadratic time trend,quadratic_time,full_data,2037,1.4623011363636367,2021,0.84,0.6223011363636367
Quadratic time trend,quadratic_time,full_data,2038,1.4954963994338997,2021,0.84,0.6554963994338997
Quadratic time trend,quadratic_time,full_data,2039,1.5290402722277723,2021,0.84,0.6890402722277723
Quadratic time trend,quadratic_time,full_data,2040,1.562932754745255,2021,0.84,0.722932754745255
Quadratic time trend,quadratic_time,full_data,2041,1.597173846986347,2021,0.84,0.757173846986347
Quadratic time trend,quadratic_time,full_data,2042,1.6317635489510491,2021,0.84,0.7917635489510492
Quadratic time trend,quadratic_time,full_data,2043,1.6667018606393607,2021,0.84,0.8267018606393607
Quadratic time trend,quadratic_time,full_data,2044,1.7019887820512822,2021,0.84,0.8619887820512823
Quadratic time trend,quadratic_time,full_data,2045,1.7376243131868134,2021,0.84,0.8976243131868135
Quadratic time trend,quadratic_time,full_data,2046,1.7736084540459545,2021,0.84,0.9336084540459545
Quadratic time trend,quadratic_time,full_data,2047,1.809941204628705,2021,0.84,0.9699412046287049
Quadratic time trend,quadratic_time,full_data,2048,1.8466225649350654,2021,0.84,1.0066225649350655
Quadratic time trend,quadratic_time,full_data,2049,1.8836525349650353,2021,0.84,1.0436525349650352
Quadratic time trend,quadratic_time,full_data,2050,1.9210311147186152,2021,0.84,1.0810311147186153
Quadratic time trend,quadratic_time,full_data,2051,1.9587583041958043,2021,0.84,1.1187583041958042
Quadratic time trend,quadratic_time,full_data,2052,1.9968341033966037,2021,0.84,1.1568341033966036
Quadratic time trend,quadratic_time,full_data,2053,2.035258512321013,2021,0.84,1.195258512321013
Quadratic time trend,quadratic_time,full_data,2054,2.0740315309690316,2021,0.84,1.2340315309690317
Quadratic time trend,quadratic_time,full_data,2055,2.11315315934066,2021,0.84,1.27315315934066
